_id,co_uf,no_uf,ano,variavel,social_categoria,social_subcategoria,valor
1,11,RO,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,844.47
2,11,RO,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,54942.0
3,11,RO,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,25040014.0
4,11,RO,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,753.31
5,11,RO,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,68343.0
6,11,RO,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,45377721.0
7,11,RO,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,746.48
8,11,RO,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,94953.0
9,11,RO,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,64203055.0
10,11,RO,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,839.86
11,11,RO,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,97270.0
12,11,RO,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,80523336.0
13,11,RO,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,994.74
14,11,RO,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,92914.0
15,11,RO,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,95337594.0
16,11,RO,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1086.45
17,11,RO,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,116211.0
18,11,RO,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,117490447.0
19,11,RO,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1164.47
20,11,RO,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,114112.0
21,11,RO,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,134018952.0
22,11,RO,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1366.56
23,11,RO,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,112976.0
24,11,RO,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,151643438.0
25,11,RO,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1575.44
26,11,RO,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,117806.0
27,11,RO,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,181188534.0
28,11,RO,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1734.62
29,11,RO,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,117832.0
30,11,RO,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,201070260.0
31,11,RO,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1809.78
32,11,RO,2014,Assistência Social,Bolsa Família,Famílias beneficiárias,114170.0
33,11,RO,2014,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,209862805.0
34,11,RO,2015,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1809.66
35,11,RO,2015,Assistência Social,Bolsa Família,Famílias beneficiárias,105855.0
36,11,RO,2015,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,198448489.0
37,11,RO,2016,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1803.15
38,11,RO,2016,Assistência Social,Bolsa Família,Famílias beneficiárias,93533.0
39,11,RO,2016,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,177249923.0
40,11,RO,2017,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1802.76
41,11,RO,2017,Assistência Social,Bolsa Família,Famílias beneficiárias,83334.0
42,11,RO,2017,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,154803120.0
43,11,RO,2018,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1809.86
44,11,RO,2018,Assistência Social,Bolsa Família,Famílias beneficiárias,81759.0
45,11,RO,2018,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,149662299.0
46,11,RO,2019,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1844.89
47,11,RO,2019,Assistência Social,Bolsa Família,Famílias beneficiárias,71216.0
48,11,RO,2019,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,142760771.0
49,11,RO,2020,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,555.27
50,11,RO,2020,Assistência Social,Bolsa Família,Famílias beneficiárias,81853.0
51,11,RO,2020,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,42423061.0
52,11,RO,2021,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,790.3
53,11,RO,2021,Assistência Social,Bolsa Família,Famílias beneficiárias,84545.0
54,11,RO,2021,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,66084676.0
55,11,RO,2023,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3483.73
56,11,RO,2023,Assistência Social,Bolsa Família,Famílias beneficiárias,127225.0
57,11,RO,2023,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,436468031.0
58,12,AC,2004,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,864.19
59,12,AC,2004,Assistência Social,Bolsa Família,Famílias beneficiárias,28851.0
60,12,AC,2004,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,19531210.0
61,12,AC,2005,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,833.07
62,12,AC,2005,Assistência Social,Bolsa Família,Famílias beneficiárias,38908.0
63,12,AC,2005,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,26342050.0
64,12,AC,2006,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,791.63
65,12,AC,2006,Assistência Social,Bolsa Família,Famílias beneficiárias,53404.0
66,12,AC,2006,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,38578165.0
67,12,AC,2007,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,884.47
68,12,AC,2007,Assistência Social,Bolsa Família,Famílias beneficiárias,57354.0
69,12,AC,2007,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,47426879.0
70,12,AC,2008,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1067.23
71,12,AC,2008,Assistência Social,Bolsa Família,Famílias beneficiárias,55037.0
72,12,AC,2008,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,60563878.0
73,12,AC,2009,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1195.3
74,12,AC,2009,Assistência Social,Bolsa Família,Famílias beneficiárias,62600.0
75,12,AC,2009,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,70480788.0
76,12,AC,2010,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1302.64
77,12,AC,2010,Assistência Social,Bolsa Família,Famílias beneficiárias,59779.0
78,12,AC,2010,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,77746624.0
79,12,AC,2011,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1545.85
80,12,AC,2011,Assistência Social,Bolsa Família,Famílias beneficiárias,56256.0
81,12,AC,2011,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,89185536.0
82,12,AC,2012,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,1946.86
83,12,AC,2012,Assistência Social,Bolsa Família,Famílias beneficiárias,70769.0
84,12,AC,2012,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,131235840.0
85,12,AC,2013,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2442.45
86,12,AC,2013,Assistência Social,Bolsa Família,Famílias beneficiárias,78050.0
87,12,AC,2013,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,176948772.0
88,12,AC,2014,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2690.41
89,12,AC,2014,Assistência Social,Bolsa Família,Famílias beneficiárias,78561.0
90,12,AC,2014,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,211937759.0
91,12,AC,2015,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2834.64
92,12,AC,2015,Assistência Social,Bolsa Família,Famílias beneficiárias,80803.0
93,12,AC,2015,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,223457560.0
94,12,AC,2016,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,2951.85
95,12,AC,2016,Assistência Social,Bolsa Família,Famílias beneficiárias,82795.0
96,12,AC,2016,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,247542727.0
97,12,AC,2017,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3108.16
98,12,AC,2017,Assistência Social,Bolsa Família,Famílias beneficiárias,86076.0
99,12,AC,2017,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,260853784.0
100,12,AC,2018,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3135.72
101,12,AC,2018,Assistência Social,Bolsa Família,Famílias beneficiárias,90330.0
102,12,AC,2018,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,275327547.0
103,12,AC,2019,Assistência Social,Bolsa Família,Benefício médio recebido pelas famílias do Bolsa Família,3219.47
104,12,AC,2019,Assistência Social,Bolsa Família,Famílias beneficiárias,86987.0
105,12,AC,2019,Assistência Social,Bolsa Família,Valor Total Repassado do Bolsa Família,287938637.0
