referencia,Ano,mes,ano_mes,ipca_variacao,ipca_acumulado_ano,ipca_acumulado_doze_meses,ipca15_variacao,ipca15_acumulado_ano,ipca15_acumulado_doze_meses,inpc_variacao,inpc_acumulado_ano,inpc_acumulado_doze_meses,ipa_variacao,ipa_acumulado_ano,ipc_fipe_variacao,ipc_fipe_acumulado_ano,incc_variacao,incc_acumulado_ano,incc_m_variacao,incc_m_acumulado_ano,selic_meta,selic_ano,juros_reais,salario_minimo,consolidado_ano
2004-01,2004,1,200401,0.76,0.76,7.71,0.68,0.68,8.46,0.83,0.83,8.62,0.75,0.75,0.65,0.65,0.33,0.33,0.28,0.28,16.5,16.32,7.99,240,false
2004-02,2004,2,200402,0.61,1.37,6.69,0.9,1.59,7.09,0.39,1.22,7.47,1.42,2.17,0.19,0.84,1,1.33,0.48,0.76,16.5,16.3,9.01,240,false
2004-03,2004,3,200403,0.47,1.85,5.89,0.4,1.99,6.31,0.57,1.8,6.62,1.09,3.26,0.12,0.96,1.16,2.49,1.59,2.35,16.25,16.19,9.73,240,false
2004-04,2004,4,200404,0.37,2.23,5.26,0.21,2.21,5.33,0.41,2.22,5.6,1.57,4.83,0.29,1.25,0.59,3.08,0.6,2.95,16,15.96,10.17,240,false
2004-05,2004,5,200405,0.51,2.75,5.15,0.54,2.76,5.01,0.4,2.63,4.99,1.71,6.54,0.57,1.82,1.83,4.91,1.74,4.69,16,15.77,10.1,260,false
2004-06,2004,6,200406,0.71,3.48,6.06,0.56,3.33,5.36,0.5,3.14,5.57,1.57,8.11,0.92,2.74,0.7,5.61,0.56,5.25,16,15.8,9.18,260,false
2004-07,2004,7,200407,0.91,4.42,6.81,0.93,4.3,6.53,0.73,3.89,6.3,1.35,9.46,0.59,3.33,1.12,6.73,1.12,6.37,16,15.77,8.39,260,false
2004-08,2004,8,200408,0.69,5.14,7.18,0.79,5.12,7.09,0.5,4.41,6.64,1.59,11.05,0.99,4.32,0.81,7.54,0.9,7.27,16,15.86,8.1,260,false
2004-09,2004,9,200409,0.33,5.49,6.7,0.49,5.63,7,0.17,4.59,5.95,0.65,11.7,0.21,4.53,0.58,8.12,0.67,7.94,16.25,16.09,8.8,260,false
2004-10,2004,10,200410,0.44,5.95,6.86,0.32,5.97,6.64,0.17,4.77,5.72,0.61,12.31,0.62,5.15,1.19,9.31,0.95,8.89,16.75,16.41,8.94,260,false
2004-11,2004,11,200411,0.69,6.68,7.24,0.63,6.64,7.13,0.44,5.23,5.8,1,13.31,0.56,5.71,0.71,10.02,0.94,9.83,17.25,16.96,9.06,260,false
2004-12,2004,12,200412,0.86,7.6,7.6,0.84,7.54,7.54,0.86,6.13,6.13,0.48,13.79,0.67,6.38,0.51,10.53,0.61,10.44,17.75,17.5,9.2,260,true
2005-01,2005,1,200501,0.58,0.58,7.41,0.68,0.68,7.54,0.57,0.57,5.86,0.08,0.08,0.56,0.56,0.75,0.75,0.7,0.7,18.25,17.93,9.79,260,false
2005-02,2005,2,200502,0.59,1.17,7.39,0.74,1.43,7.36,0.44,1.01,5.91,0.39,0.47,0.36,0.92,0.44,1.19,0.42,1.12,18.75,18.47,10.32,260,false
2005-03,2005,3,200503,0.61,1.79,7.54,0.35,1.78,7.31,0.73,1.75,6.08,1.14,1.61,0.79,1.71,0.67,1.86,0.71,1.83,19.25,18.97,10.63,260,false
2005-04,2005,4,200504,0.87,2.68,8.07,0.74,2.53,7.88,0.91,2.68,6.61,0.33,1.94,0.83,2.54,0.72,2.58,0.38,2.21,19.5,19.32,10.41,260,false
2005-05,2005,5,200505,0.49,3.18,8.05,0.83,3.38,8.19,0.7,3.39,6.93,-0.98,0.96,0.35,2.89,2.09,4.67,0.54,2.75,19.75,19.61,10.7,300,false
2005-06,2005,6,200506,-0.02,3.16,7.27,0.12,3.51,7.72,-0.11,3.28,6.28,-0.78,0.18,-0.2,2.69,0.76,5.43,2.2,4.95,19.75,19.75,11.63,300,false
2005-07,2005,7,200507,0.25,3.42,6.57,0.11,3.62,6.84,0.03,3.31,5.54,-0.69,-0.51,0.3,2.99,0.11,5.54,0.65,5.6,19.75,19.72,12.34,300,false
2005-08,2005,8,200508,0.17,3.59,6.02,0.28,3.91,6.3,0,3.31,5.01,-1.04,-1.55,-0.2,2.79,0.02,5.56,0.05,5.65,19.75,19.75,12.95,300,false
2005-09,2005,9,200509,0.35,3.95,6.04,0.16,4.08,5.95,0.15,3.47,4.99,-0.28,-1.83,0.44,3.23,0.24,5.8,0.06,5.71,19.5,19.61,12.8,300,false
2005-10,2005,10,200510,0.75,4.73,6.36,0.56,4.66,6.21,0.58,4.07,5.42,0.79,-1.04,0.63,3.86,0.19,5.99,0.28,5.99,19,19.25,12.12,300,false
2005-11,2005,11,200511,0.55,5.31,6.22,0.78,5.48,6.36,0.54,4.63,5.53,0.24,-0.8,0.29,4.15,0.28,6.27,0.29,6.28,18.5,18.87,11.91,300,false
2005-12,2005,12,200512,0.36,5.69,5.69,0.38,5.88,5.88,0.4,5.05,5.05,-0.14,-0.94,0.29,4.44,0.37,6.64,0.38,6.66,18,18.24,11.87,300,true
2006-01,2006,1,200601,0.59,0.59,5.7,0.51,0.51,5.7,0.38,0.38,4.85,0.81,0.81,0.5,0.5,0.34,0.34,0.24,0.24,17.25,17.65,11.31,300,false
2006-02,2006,2,200602,0.41,1,5.51,0.52,1.03,5.47,0.23,0.61,4.63,-0.12,0.69,-0.03,0.47,0.19,0.53,0.28,0.52,17.25,17.28,11.16,300,false
2006-03,2006,3,200603,0.43,1.44,5.32,0.37,1.41,5.49,0.27,0.88,4.15,-0.82,-0.13,0.14,0.61,0.2,0.73,0.23,0.75,16.5,16.74,10.84,300,false
2006-04,2006,4,200604,0.21,1.65,4.63,0.17,1.58,4.89,0.12,1,3.34,-0.15,-0.28,0.01,0.62,0.36,1.09,0.21,0.96,15.75,16.19,11.05,350,false
2006-05,2006,5,200605,0.1,1.75,4.23,0.27,1.85,4.31,0.13,1.13,2.75,0.46,0.18,-0.22,0.4,1.32,2.41,0.81,1.77,15.25,15.7,11,350,false
2006-06,2006,6,200606,-0.21,1.54,4.03,-0.15,1.7,4.03,-0.07,1.06,2.79,1.06,1.24,-0.31,0.09,0.9,3.31,1.45,3.22,15.25,15.18,10.72,350,false
2006-07,2006,7,200607,0.19,1.73,3.97,-0.02,1.68,3.89,0.11,1.18,2.87,0.17,1.41,0.21,0.3,0.47,3.78,0.57,3.79,14.75,14.98,10.59,350,false
2006-08,2006,8,200608,0.05,1.78,3.84,0.19,1.87,3.8,-0.02,1.16,2.85,0.53,1.94,0.12,0.42,0.24,4.02,0.35,4.14,14.25,14.66,10.42,350,false
2006-09,2006,9,200609,0.21,2,3.7,0.05,1.92,3.69,0.16,1.32,2.86,0.28,2.22,0.25,0.67,0.11,4.13,0.09,4.23,14.25,14.17,10.1,350,false
2006-10,2006,10,200610,0.33,2.33,3.26,0.29,2.22,3.41,0.43,1.75,2.71,1.16,3.38,0.39,1.06,0.21,4.34,0.18,4.41,13.75,13.95,10.35,350,false
2006-11,2006,11,200611,0.31,2.65,3.02,0.37,2.6,2.99,0.42,2.18,2.59,0.75,4.13,0.42,1.48,0.23,4.57,0.23,4.64,13.25,13.65,10.32,350,false
2006-12,2006,12,200612,0.48,3.14,3.14,0.35,2.96,2.96,0.62,2.81,2.81,0.11,4.24,1.04,2.52,0.36,4.93,0.3,4.94,13.25,13.19,9.74,350,true
2007-01,2007,1,200701,0.44,0.44,2.99,0.52,0.52,2.97,0.49,0.49,2.93,0.32,0.32,0.66,0.66,0.45,0.45,0.45,0.45,13,13.13,9.85,350,false
2007-02,2007,2,200702,0.44,0.88,3.02,0.46,0.98,2.91,0.42,0.91,3.12,0.19,0.51,0.33,0.99,0.21,0.66,0.26,0.71,13,12.93,9.62,350,false
2007-03,2007,3,200703,0.37,1.26,2.96,0.41,1.4,2.95,0.44,1.36,3.3,0.11,0.62,0.11,1.1,0.27,0.93,0.17,0.88,12.75,12.74,9.5,350,false
2007-04,2007,4,200704,0.25,1.51,3,0.22,1.62,3,0.26,1.62,3.44,0.02,0.64,0.33,1.43,0.46,1.39,0.43,1.31,12.5,12.58,9.3,380,false
2007-05,2007,5,200705,0.28,1.79,3.18,0.26,1.88,2.99,0.26,1.88,3.57,-0.04,0.6,0.36,1.79,1.15,2.54,0.55,1.86,12.5,12.43,8.96,380,false
